geo,State,geo_id
ANAHEIM,CA,1
ATLANTA,GA,2
ATWATER,CA,3
AURORA,CO,4
AVALON,CA,5
BATESVILLE,AR,6
BENTONVILLE,AR,7
BIRMINGHAM,AL,8
BLOOMFIELD,CT,9
BONITA SPRINGS,FL,10
BOULDER,CO,11
BRANDON,FL,12
BRAWLEY,CA,13
BRENTWOOD,CA,14
BRISTOL,CT,15
BUENA VISTA,CO,16
CAMARILLO,CA,17
CAMDEN,AR,18
CANTONMENT,FL,19
CASTLE ROCK,CO,20
CENTENNIAL,CO,21
CLOVIS,CA,22
CUPERTINO,CA,23
DARIEN,GA,24
DEFUNIAK SPRINGS,FL,25
DENVER,CO,26
DORAL,FL,27
DORRIS,CA,28
DOUGLASVILLE,GA,29
DUNNELLON,FL,30
EL DORADO,AR,31
ENGLEWOOD,CO,32
FAIRFIELD,CA,33
FLORENCE,CO,34
FORT MYERS,FL,35
FORT PIERCE,FL,36
FRESNO,CA,37
GIBSONTON,FL,38
GILBERT,AZ,39
GREENWICH,CT,40
GREENWOOD VILLAGE,CO,41
HIGHLANDS RANCH,CO,42
HOTCHKISS,CO,43
IRVINE,CA,44
JACKSONVILLE,FL,45
JACKSONVILLE BEACH,FL,46
JASPER,AL,47
LAKESIDE,CA,48
LAKEWOOD,CO,49
LOMA LINDA,CA,50
LONG BEACH,CA,51
LOS ANGELES,CA,52
MAITLAND,FL,53
MCDONOUGH,GA,54
MENLO PARK,CA,55
MIAMI,FL,56
MIDDLETOWN,DE,57
MILFORD,CT,58
MORRO BAY,CA,59
MURRIETA,CA,60
NEWPORT,AR,61
NEWPORT BEACH,CA,62
OAKLAND,CA,63
OCEANSIDE,CA,64
OCOEE,FL,65
OLD SAYBROOK,CT,66
ORINDA,CA,67
ORLANDO,FL,68
PEMBROKE PINES,FL,69
PHOENIX,AZ,70
POMPANO BEACH,FL,71
RANCHO MIRAGE,CA,72
RINCON,GA,73
RIVERSIDE,CA,74
RUSKIN,FL,75
SACRAMENTO,CA,76
SALINAS,CA,77
SAN BERNARDINO,CA,78
SAN DIEGO,CA,79
SAN FERNANDO,CA,80
SAN FRANCISCO,CA,81
SAN JACINTO,CA,82
SAN JOSE,CA,83
SAN MATEO,CA,84
SAN RAFAEL,CA,85
SANTA ANA,CA,86
SANTA CLARA,CA,87
SANTA ROSA,CA,88
SARASOTA,FL,89
SAVANNAH,GA,90
SEBASTIAN,FL,91
SOUTH MIAMI,FL,92
SOUTHBURY,CT,93
STERLING,CO,94
STRATFORD,CT,95
SUNNYVALE,CA,96
TALLAHASSEE,FL,97
TAVARES,FL,98
TEMPE,AZ,99
TURLOCK,CA,100
VALRICO,FL,101
VISTA,CA,102
WHEAT RIDGE,CO,103
WILTON,CT,104
WINTER GARDEN,FL,105
BOCA DEL MAR,,106
DREXEL HEIGHTS,,107
EASTVALE,,108
FOUR CORNERS,,109
HAMPTONS AT BOCA RATON,,110
JASMINE ESTATES,,111
KENDALE LAKES,,112
KINGS POINT,,113
PORT SAINT JOHN,,114
ST. PETERSBURG,,115
UNION PARK,,116
UNKNOWN,,117
WASHINGTON,,118
ABERDEEN,WA,119
ADAMS,WI,120
ADDISON,IL,121
ALBUQUERQUE,NM,122
AMARILLO,TX,123
ANNAPOLIS,MD,124
ARLINGTON,MA,125
ARTESIA,NM,126
AUBURN,IN,127
AUSTIN,TX,128
AVONDALE,AZ,129
BAILEY,CO,130
BALDWIN,WI,131
BALTIMORE,MD,132
BANGOR,ME,133
BARRINGTON,IL,134
BATH,ME,135
BATON ROUGE,LA,136
BAY SPRINGS,MS,137
BEAUMONT,TX,138
BECKLEY,WV,139
BEDFORD PARK,IL,140
BELLEVUE,WA,141
BELMONT,NC,142
BENNETT,CO,143
BERLIN,NH,144
BLACKSBURG,SC,145
BLOOMFIELD,NJ,146
BLOOMINGTON,IN,147
BOARDMAN,OR,148
BOILING SPRINGS,SC,149
BOISE,ID,150
BOSTON,MA,151
BOWLING GREEN,KY,152
BOYDTON,VA,153
BREAUX BRIDGE,LA,154
BRIGHTON,CO,155
BROOKFIELD,MO,156
BROOKHAVEN,GA,157
BUCHANAN,NY,158
CAIRO,GA,159
CALVERTON,NY,160
CAMPBELLSVILLE,KY,161
CANANDAIGUA,NY,162
CANTON,MO,163
CAPITOLA,CA,164
CARLSBAD,NM,165
CASTLE DALE,UT,166
CASTROVILLE,TX,167
CATHEDRAL CITY,CA,168
CHAMPAIGN,IL,169
CHARLESTON,SC,170
CHARLOTTE,NC,171
CHARLOTTESVILLE,VA,172
CHATHAM,IL,173
CHELSEA,MA,174
CHICAGO,IL,175
CIRCLEVILLE,OH,176
CLARE,MI,177
CLAREMONT,NH,178
CLARKSBURG,WV,179
CLARKSVILLE,TN,180
CLE ELUM,WA,181
