zip_code,dma_code,dma_name,city,state,state_name,geo_key_zip,geo_key_city,geo_key_dma,geo_key_state
11005,501,NEW YORK,FLORAL PARK,NY,New York,11005,"FLORAL PARK, NY",NEW YORK,NY
11010,501,NEW YORK,FRANKLIN SQUARE,NY,New York,11010,"FRANKLIN SQUARE, NY",NEW YORK,NY
11020,501,NEW YORK,GREAT NECK,NY,New York,11020,"GREAT NECK, NY",NEW YORK,NY
11021,501,NEW YORK,GREAT NECK,NY,New York,11021,"GREAT NECK, NY",NEW YORK,NY
11023,501,NEW YORK,GREAT NECK,NY,New York,11023,"GREAT NECK, NY",NEW YORK,NY
11024,501,NEW YORK,GREAT NECK,NY,New York,11024,"GREAT NECK, NY",NEW YORK,NY
11030,501,NEW YORK,MANHASSET,NY,New York,11030,"MANHASSET, NY",NEW YORK,NY
11040,501,NEW YORK,NEW HYDE PARK,NY,New York,11040,"NEW HYDE PARK, NY",NEW YORK,NY
11042,501,NEW YORK,NEW HYDE PARK,NY,New York,11042,"NEW HYDE PARK, NY",NEW YORK,NY
11050,501,NEW YORK,PORT WASHINGTON,NY,New York,11050,"PORT WASHINGTON, NY",NEW YORK,NY
11096,501,NEW YORK,FAR ROCKAWAY,NY,New York,11096,"FAR ROCKAWAY, NY",NEW YORK,NY
11101,501,NEW YORK,LONG ISLAND CITY,NY,New York,11101,"LONG ISLAND CITY, NY",NEW YORK,NY
11102,501,NEW YORK,ASTORIA,NY,New York,11102,"ASTORIA, NY",NEW YORK,NY
11103,501,NEW YORK,ASTORIA,NY,New York,11103,"ASTORIA, NY",NEW YORK,NY
11104,501,NEW YORK,SUNNYSIDE,NY,New York,11104,"SUNNYSIDE, NY",NEW YORK,NY
11105,501,NEW YORK,LONG ISLAND CITY,NY,New York,11105,"LONG ISLAND CITY, NY",NEW YORK,NY
11106,501,NEW YORK,ASTORIA,NY,New York,11106,"ASTORIA, NY",NEW YORK,NY
11109,501,NEW YORK,LONG ISLAND CITY,NY,New York,11109,"LONG ISLAND CITY, NY",NEW YORK,NY
11201,501,NEW YORK,BROOKLYN,NY,New York,11201,"BROOKLYN, NY",NEW YORK,NY
11202,501,NEW YORK,BROOKLYN,NY,New York,11202,"BROOKLYN, NY",NEW YORK,NY
11203,501,NEW YORK,BROOKLYN,NY,New York,11203,"BROOKLYN, NY",NEW YORK,NY
11204,501,NEW YORK,BROOKLYN,NY,New York,11204,"BROOKLYN, NY",NEW YORK,NY
