dma_name,sign_date,households_signed_utc
ABILENE-SWEETWATER,2022-01-06,1
ABILENE-SWEETWATER,2022-10-20,1
ABILENE-SWEETWATER,2023-05-17,1
ABILENE-SWEETWATER,2023-09-12,1
"ALBANY, GA",2022-03-04,1
"ALBANY, GA",2022-03-07,1
"ALBANY, GA",2022-05-16,1
"ALBANY, GA",2022-05-31,1
"ALBANY, GA",2022-06-28,1
"ALBANY, GA",2022-08-05,1
"ALBANY, GA",2023-03-31,1
"ALBANY, GA",2023-05-01,1
ALBANY-SCHENECTADY-TROY,2022-01-11,1
ALBANY-SCHENECTADY-TROY,2022-01-23,1
ALBANY-SCHENECTADY-TROY,2022-01-24,1
ALBANY-SCHENECTADY-TROY,2022-02-01,1
ALBANY-SCHENECTADY-TROY,2022-02-08,1
ALBANY-SCHENECTADY-TROY,2022-03-16,1
ALBANY-SCHENECTADY-TROY,2022-03-23,1
ALBANY-SCHENECTADY-TROY,2022-03-26,1
ALBANY-SCHENECTADY-TROY,2022-03-28,1
ALBANY-SCHENECTADY-TROY,2022-03-30,1
ALBANY-SCHENECTADY-TROY,2022-04-11,1
ALBANY-SCHENECTADY-TROY,2022-04-15,1
ALBANY-SCHENECTADY-TROY,2022-04-28,1
ALBANY-SCHENECTADY-TROY,2022-05-06,1
ALBANY-SCHENECTADY-TROY,2022-05-20,1
ALBANY-SCHENECTADY-TROY,2022-07-17,1
ALBANY-SCHENECTADY-TROY,2022-07-26,2
ALBANY-SCHENECTADY-TROY,2022-08-07,1
ALBANY-SCHENECTADY-TROY,2022-08-08,1
ALBANY-SCHENECTADY-TROY,2022-08-18,1
ALBANY-SCHENECTADY-TROY,2022-09-01,1
ALBANY-SCHENECTADY-TROY,2022-09-16,1
ALBANY-SCHENECTADY-TROY,2022-10-03,1
ALBANY-SCHENECTADY-TROY,2022-10-05,1
ALBANY-SCHENECTADY-TROY,2022-10-20,1
ALBANY-SCHENECTADY-TROY,2022-11-06,1
ALBANY-SCHENECTADY-TROY,2022-11-10,1
ALBANY-SCHENECTADY-TROY,2022-11-28,1
ALBANY-SCHENECTADY-TROY,2022-12-19,1
ALBANY-SCHENECTADY-TROY,2023-03-01,1
ALBANY-SCHENECTADY-TROY,2023-03-08,1
ALBANY-SCHENECTADY-TROY,2023-03-10,1
ALBANY-SCHENECTADY-TROY,2023-03-28,1
ALBANY-SCHENECTADY-TROY,2023-04-14,1
ALBANY-SCHENECTADY-TROY,2023-05-01,1
ALBANY-SCHENECTADY-TROY,2023-06-14,1
ALBANY-SCHENECTADY-TROY,2023-06-16,1
ALBANY-SCHENECTADY-TROY,2023-06-29,1
ALBANY-SCHENECTADY-TROY,2023-07-12,1
ALBANY-SCHENECTADY-TROY,2023-07-21,1
ALBANY-SCHENECTADY-TROY,2023-07-25,1
ALBANY-SCHENECTADY-TROY,2023-07-31,2
ALBANY-SCHENECTADY-TROY,2023-08-09,1
ALBANY-SCHENECTADY-TROY,2023-08-17,1
ALBANY-SCHENECTADY-TROY,2023-10-11,1
ALBANY-SCHENECTADY-TROY,2023-10-19,1
ALBANY-SCHENECTADY-TROY,2023-11-29,1
ALBANY-SCHENECTADY-TROY,2023-12-01,1
ALBANY-SCHENECTADY-TROY,2023-12-15,1
ALBANY-SCHENECTADY-TROY,2023-12-22,1
ALBANY-SCHENECTADY-TROY,2024-01-03,1
ALBANY-SCHENECTADY-TROY,2024-01-16,1
ALBANY-SCHENECTADY-TROY,2024-01-28,1
ALBANY-SCHENECTADY-TROY,2024-02-05,1
ALBANY-SCHENECTADY-TROY,2024-03-11,1
ALBANY-SCHENECTADY-TROY,2024-05-21,1
ALBANY-SCHENECTADY-TROY,2024-06-24,1
ALBANY-SCHENECTADY-TROY,2024-06-25,1
ALBANY-SCHENECTADY-TROY,2024-08-21,1
ALBANY-SCHENECTADY-TROY,2024-08-26,1
ALBANY-SCHENECTADY-TROY,2024-09-28,1
ALBANY-SCHENECTADY-TROY,2024-10-03,1
ALBANY-SCHENECTADY-TROY,2024-11-05,1
ALBANY-SCHENECTADY-TROY,2024-11-14,1
ALBANY-SCHENECTADY-TROY,2025-02-04,1
ALBUQUERQUE-SANTA FE,2022-01-05,1
ALBUQUERQUE-SANTA FE,2022-01-16,1
ALBUQUERQUE-SANTA FE,2022-02-15,1
ALBUQUERQUE-SANTA FE,2022-02-17,1
ALBUQUERQUE-SANTA FE,2022-02-22,1
ALBUQUERQUE-SANTA FE,2022-03-02,1
ALBUQUERQUE-SANTA FE,2022-03-04,2
ALBUQUERQUE-SANTA FE,2022-03-15,1
ALBUQUERQUE-SANTA FE,2022-03-28,1
ALBUQUERQUE-SANTA FE,2022-04-13,1
ALBUQUERQUE-SANTA FE,2022-04-23,1
ALBUQUERQUE-SANTA FE,2022-04-29,2
ALBUQUERQUE-SANTA FE,2022-05-07,1
ALBUQUERQUE-SANTA FE,2022-05-12,1
ALBUQUERQUE-SANTA FE,2022-05-17,2
ALBUQUERQUE-SANTA FE,2022-05-18,1
ALBUQUERQUE-SANTA FE,2022-05-21,1
ALBUQUERQUE-SANTA FE,2022-06-16,1
ALBUQUERQUE-SANTA FE,2022-07-02,1
ALBUQUERQUE-SANTA FE,2022-07-16,1
ALBUQUERQUE-SANTA FE,2022-07-21,1
ALBUQUERQUE-SANTA FE,2022-07-25,1
ALBUQUERQUE-SANTA FE,2022-07-27,1
ALBUQUERQUE-SANTA FE,2022-08-01,1
ALBUQUERQUE-SANTA FE,2022-08-12,1
ALBUQUERQUE-SANTA FE,2022-08-25,1
ALBUQUERQUE-SANTA FE,2022-09-07,1
ALBUQUERQUE-SANTA FE,2022-09-08,1
ALBUQUERQUE-SANTA FE,2022-09-14,1
ALBUQUERQUE-SANTA FE,2022-09-29,1
ALBUQUERQUE-SANTA FE,2022-10-01,1
ALBUQUERQUE-SANTA FE,2022-10-11,1
