Date,City,State,DMA,geo,sessions,fb_dma_cost,tiktok_state_cost,google_cost,city_dma_session_ratio,city_state_session_ratio,facebook_cost_city_normalized,tiktok_cost_city_normalized,total_cost,geo_id
2024-04-01,SAN JOSE,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN JOSE,22,197.9302292,85.32,6.04,0.275,0.13924050632911392,54.43081303000001,11.879999999999999,72.35081303000001,83
2024-04-01,SAN JOSE,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN JOSE,22,197.9302292,85.32,23.79,0.275,0.13924050632911392,54.43081303000001,11.879999999999999,90.10081303000001,83
2024-04-01,SAN MATEO,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN MATEO,1,197.9302292,85.32,1.71,0.0125,0.006329113924050633,2.4741278650000003,0.5399999999999999,4.724127865000001,84
2024-04-02,FREMONT,CA,SAN FRANCISCO-OAK-SAN JOSE,FREMONT,6,193.7866438,82.43,0.0,0.07792207792207792,0.037037037037037035,15.100257958441558,3.052962962962963,18.15322092140452,219
2024-04-02,ISLIP,NY,NEW YORK,ISLIP,1,436.6424378,48.0,0.0,0.008130081300813009,0.009523809523809525,3.549938518699187,0.4571428571428572,4.007081375842044,252
2024-04-02,KANSAS CITY,MO,KANSAS CITY,KANSAS CITY,3,21.93962003,1.37,0.0,0.2727272727272727,0.3,5.983532735454546,0.41100000000000003,6.394532735454545,263
2024-04-02,LAS VEGAS,NV,LAS VEGAS,LAS VEGAS,3,31.20945948,1.15,13.69,1.0,0.375,31.20945948,0.43124999999999997,45.330709479999996,274
2024-04-02,SAN JOSE,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN JOSE,19,193.7866438,82.43,1.01,0.24675324675324675,0.11728395061728394,47.81748353506494,9.667716049382717,58.495199584447654,83
2024-04-02,SAN JOSE,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN JOSE,19,193.7866438,82.43,16.27,0.24675324675324675,0.11728395061728394,47.81748353506494,9.667716049382717,73.75519958444765,83
2024-04-03,FREMONT,CA,SAN FRANCISCO-OAK-SAN JOSE,FREMONT,4,166.64284,0.0,0.0,0.039603960396039604,0.019230769230769232,6.599716435643565,0.0,6.599716435643565,219
2024-04-03,KANSAS CITY,MO,KANSAS CITY,KANSAS CITY,4,16.20735847,0.0,15.94,0.36363636363636365,0.4444444444444444,5.893584898181818,0.0,21.83358489818182,263
2024-04-03,LAS VEGAS,NV,LAS VEGAS,LAS VEGAS,3,26.97560342,0.0,0.0,1.0,0.75,26.97560342,0.0,26.97560342,274
2024-04-03,SAN JOSE,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN JOSE,30,166.64284,0.0,2.04,0.297029702970297,0.14423076923076922,49.49787326732673,0.0,51.53787326732673,83
2024-04-03,SAN JOSE,CA,SAN FRANCISCO-OAK-SAN JOSE,SAN JOSE,30,166.64284,0.0,8.86,0.297029702970297,0.14423076923076922,49.49787326732673,0.0,58.35787326732673,83
2024-04-04,KANSAS CITY,MO,KANSAS CITY,KANSAS CITY,3,20.32870432,1.54,0.0,0.23076923076923078,0.375,4.6912394584615384,0.5775,5.268739458461538,263
