pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
0,105,19850.0,205431.4170667351,10.349189776661717,39345.69492187382,0,0.019844600379395175,0.0023996403197782783,1.0000000000000002,0.019844600379395172,0.002399640319778278,0.02398213630269664,0.019646287741472136,0.005208682491591202,0.004393043489545251,0.04047619047619048,0.007904278754446768,0.41149633877235453,0.06950105321037701
1,104,15947.0,153343.81338077897,9.615840808978426,39345.69492187382,0,0.015318862107840246,0.0018859764604677014,0.746447722409298,0.02052235092686168,0.002526602203809215,0.017127502037134146,0.015716449606041332,-0.0001052970595450085,0.0035143049684058206,0.04423076923076923,0.008497805971073831,0.36046485333156675,0.06475380648039426
2,103,13175.0,123162.87465860156,9.348225780539018,39345.69492187382,0,0.012122681262477201,0.0017018897668863758,0.5995328096217714,0.020220213252590904,0.0028386932951343412,0.014737637490823696,0.012016697616468324,0.0031270482033799937,0.002687015273548287,0.04660194174757281,0.006164535524384008,0.4057043547807539,0.03559070247258603
3,102,12265.0,116913.40977534534,9.532279639245441,39345.69492187382,0,0.011519391513533641,0.0014850067987788942,0.5691116356237063,0.020241005090168646,0.0026093418335252122,0.013311681655676566,0.011817414211287186,-0.00016633139509768873,0.002642454149471021,0.05637254901960783,0.007178882393176742,0.42783317306008967,0.042236656342563975
4,101,11283.0,105212.98150406414,9.32491194753737,39345.69492187382,0,0.009423233916001972,0.0010615118739685893,0.5121562368909005,0.018399139241585198,0.002072632914543053,0.011328747307033982,0.00955827734594525,0.0014158760202716168,0.0021372957893329853,0.05544554455445546,0.006111827790055549,0.38533980480752356,0.03293047776700052
5,100,10827.0,98839.68940830845,9.129000591882187,39345.69492187382,0,0.006899314792507009,0.0008797757181366116,0.4811322962164062,0.014339745734723656,0.0018285526144370518,0.012577918276309375,0.006495896467644651,-0.002741114232144601,0.00145252660764542,0.06000000000000001,0.007071067811865476,0.46610412271322776,0.0403668659308657
6,99,10201.0,91359.85714324364,8.955970703190241,39345.69492187382,0,0.007010607434015818,0.0011185858357420262,0.4447219341994078,0.015764024427165648,0.0025152477305975785,0.010935219675509785,0.0067049461712110165,-0.002537740844330334,0.0014992715424304776,0.03787878787878788,0.005670361773945336,0.30760694795702986,0.035413785877266034
7,98,8462.0,84422.4941291515,9.97665967019044,39345.69492187382,0,0.008553334014660652,0.0010449930143890595,0.4109522065056222,0.02081345197630332,0.002542857777245596,0.00927331754746685,0.00786763331431891,-0.0037887796843045904,0.0017592562912859052,0.030102040816326524,0.007195410475736179,0.1937917213270549,0.04596478484001812
8,97,6658.0,69382.80014309958,10.420967278927543,39345.69492187382,0,0.007002055456400287,0.0011624218183789144,0.33774191471677556,0.020731970629917485,0.003441745805680355,0.00795466184457607,0.007010171674762643,-0.0015308164652703363,0.0015675220398712816,0.05,0.005806575465994167,0.28781041603890783,0.030887739941781327
9,96,6456.0,66169.14749539057,10.249248372891971,39345.69492187382,0,0.005781707632353499,0.0008348242630960565,0.32209848152824316,0.017950123840762444,0.0025918292415881973,0.007856910282372266,0.0059317313767768285,-4.4473318831894824e-05,0.0013263754582741405,0.06614583333333333,0.00596360451108387,0.34141721323332924,0.0273060464955559
