geo,assignment
500,treatment
502,control
503,treatment
504,treatment
505,control
506,control
507,control
508,control
509,control
510,treatment
511,control
512,control
513,treatment
514,treatment
515,treatment
516,control
517,control
518,treatment
519,treatment
520,control
521,control
522,treatment
523,control
524,control
525,treatment
526,control
527,treatment
528,control
529,treatment
530,treatment
531,treatment
532,control
533,control
534,treatment
535,control
536,treatment
537,control
538,control
539,treatment
540,treatment
541,control
542,treatment
543,control
544,control
545,treatment
546,control
547,treatment
548,treatment
549,control
550,treatment
551,control
552,treatment
553,control
554,treatment
555,treatment
556,treatment
557,control
558,control
559,treatment
560,control
561,control
563,control
564,control
565,control
566,control
567,control
569,treatment
570,treatment
571,control
573,treatment
574,control
575,treatment
576,treatment
577,treatment
581,treatment
582,control
583,control
584,control
588,treatment
592,control
596,treatment
597,treatment
598,control
600,treatment
602,control
603,treatment
604,control
605,treatment
606,treatment
609,control
610,treatment
611,control
612,control
613,treatment
616,treatment
617,control
618,treatment
619,treatment
622,treatment
623,treatment
624,treatment
625,control
626,control
627,control
628,treatment
630,treatment
631,treatment
632,control
633,treatment
634,treatment
635,treatment
636,control
637,treatment
638,treatment
639,control
640,treatment
641,control
642,treatment
643,control
644,control
647,treatment
648,control
649,control
650,control
651,treatment
652,treatment
656,treatment
657,control
658,control
659,treatment
661,treatment
662,treatment
669,treatment
670,control
671,control
673,control
675,control
676,treatment
678,control
679,treatment
682,treatment
686,control
687,treatment
691,control
692,treatment
693,control
698,treatment
702,control
705,treatment
709,treatment
710,control
711,control
716,control
717,control
718,treatment
722,control
724,control
725,control
734,treatment
736,control
737,treatment
740,treatment
743,control
744,treatment
745,treatment
746,control
747,control
749,control
751,treatment
752,treatment
753,control
754,control
755,control
756,treatment
757,control
758,treatment
759,control
760,treatment
762,treatment
764,control
765,treatment
766,control
767,control
770,control
771,treatment
773,treatment
789,treatment
790,control
798,treatment
800,control
801,treatment
802,control
803,treatment
804,control
810,treatment
811,treatment
813,control
819,treatment
820,control
821,treatment
825,treatment
828,control
839,control
855,control
862,treatment
866,control
868,treatment
881,treatment
