pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
0,105,19850.0,205431.41706673504,10.349189776661715,10000.0,0,0.09023269167467318,0.004364859937992132,1.0,0.09023269167467318,0.004364859937992132,0.0947407416087441,0.09011594953100892,0.007852305953072987,0.006372159900644108,0.047190476190476185,0.0027748354384503305,0.4675713226256212,0.02242692964807739
1,104,15947.0,153343.81338077894,9.615840808978424,10000.0,0,0.05526355880196858,0.0025415861146062995,0.7464477224092979,0.07403540414537703,0.003404908392516573,0.06980071139228494,0.054662535389879086,0.009000451104533798,0.0038652249451033138,0.053125,0.002713602264629458,0.41899561874872854,0.019357082486776773
2,103,13175.0,123162.87465860158,9.34822578053902,10000.0,0,0.05720940436572224,0.002680263339249539,0.5995328096217714,0.09542330869567267,0.004470586590482751,0.057945871040792116,0.05724989851335523,0.0034282389779876016,0.004048179146103513,0.06378640776699028,0.0024298760506617366,0.48704919672116664,0.01559184788835422
3,102,12265.0,116913.40977534535,9.532279639245443,10000.0,0,0.04919996842057899,0.0022102807355217744,0.5691116356237063,0.08645047006754535,0.003883738439294889,0.053683647953677395,0.049125673227522336,-0.004401338589446548,0.0034737096669535472,0.06593137254901961,0.0022912663459591373,0.5114837626788474,0.013004969211069407
4,101,10378.0,109750.43130745213,10.575296907636552,10000.0,0,0.04796707319032798,0.0023031643703005284,0.5342436559827621,0.08978501223770392,0.004311074814849728,0.049069894592429615,0.04808506321134799,0.0004771508431782599,0.003400127427052795,0.062326732673267334,0.002491164802230664,0.4658762169697146,0.015208567853580292
5,100,9922.0,103377.13921169641,10.418981980618465,10000.0,0,0.04587083143341433,0.002260097893774927,0.5032197153082677,0.09115467863836434,0.00449127453679038,0.049374065906843526,0.04571130731754779,0.005005714514113822,0.0032322775381140294,0.06795,0.002457986163488212,0.5126335874604591,0.014968514484186981
6,99,8940.0,91676.71094041521,10.254665653290292,10000.0,0,0.04347201866826918,0.0018265775909264588,0.446264316575462,0.0974131631268757,0.004093039759358824,0.043029421380788996,0.043433965204004575,0.003569260486203993,0.003071245132957218,0.0592929292929293,0.002337094476851502,0.44460191056665643,0.014963581566588004
7,98,8738.0,88463.05829270622,10.12394807652852,10000.0,0,0.038971599210947956,0.002003450112355175,0.43062088338692966,0.09050095040544157,0.004652468539374104,0.041918501658011156,0.039061990884771546,-0.000758688892889949,0.002762099864126907,0.06438775510204081,0.0020129234261826775,0.48302196355231414,0.011961464362974548
8,97,8112.0,80983.22602764142,9.983139303210233,10000.0,0,0.034442795863974224,0.0018125747254341287,0.3942105213699313,0.08737157938930996,0.004597986677613786,0.03758102377223688,0.034525801850068503,0.0004851273071648618,0.0024413428614086484,0.06396907216494846,0.0020699957175923044,0.450921391947622,0.011436860446082235
9,96,7727.0,75427.24742797331,9.761517720716101,10000.0,0,0.034270853924070935,0.0018597184834145747,0.3671651031033415,0.09333908270259861,0.005065074179697144,0.03712212040832459,0.0343562730387331,0.00019924622603478755,0.002429355364198473,0.06369791666666667,0.002070439449335681,0.4592259480914885,0.01275590997691021
10,95,6071.0,60613.16889572245,9.98405022166405,10000.0,0,0.02292986057384234,0.001258071924229242,0.29505306326165326,0.07771436202141078,0.004263883622565826,0.029288776497007986,0.02295123694517371,0.0012857002018006624,0.001622897528055155,0.06568421052631579,0.0016437211886562964,0.3781485759811595,0.0072362697262546355
11,94,5714.0,55356.029721801584,9.687789590794816,10000.0,0,0.020388035158867866,0.0011335472136799467,0.26946233693076754,0.07566191027321983,0.004206700003389293,0.026502901501310235,0.02041766333490401,-0.0009356315845652198,0.0014437468200094563,0.06670212765957446,0.0014302826284072982,0.357161839504617,0.006016934164433639
12,93,5326.0,50127.39818348593,9.411828423485906,10000.0,0,0.02220993815515548,0.0012083686122884919,0.24401038020003477,0.09102046452674768,0.004952119706128468,0.02650558376460604,0.022169758483903176,-0.002059284481903207,0.0015676386561235928,0.07,0.0012754451113086184,0.39595716068277875,0.005730949080352662
