geo,assignment
500,control
502,control
503,control
505,control
507,treatment
508,treatment
509,control
510,control
513,treatment
514,treatment
515,control
516,treatment
518,control
519,control
520,control
521,control
522,treatment
523,control
525,control
526,treatment
527,control
529,control
530,treatment
531,treatment
532,treatment
535,treatment
536,control
537,control
538,control
539,control
540,control
541,control
542,treatment
543,control
544,control
545,control
546,treatment
547,treatment
549,treatment
550,control
551,treatment
552,control
553,treatment
554,control
555,treatment
556,control
557,treatment
558,treatment
559,control
561,treatment
563,treatment
564,control
565,control
566,treatment
567,control
569,treatment
570,control
571,treatment
573,treatment
574,control
575,control
576,control
577,control
581,treatment
582,treatment
583,control
584,treatment
588,treatment
592,control
596,treatment
597,control
598,control
600,treatment
603,control
604,control
605,control
606,control
609,control
610,treatment
611,control
612,control
616,treatment
617,control
619,treatment
622,control
624,control
625,treatment
626,treatment
627,control
628,treatment
630,treatment
631,treatment
632,control
633,treatment
634,treatment
636,control
637,treatment
638,control
639,control
640,control
641,treatment
642,treatment
643,control
644,treatment
647,control
648,treatment
649,control
650,treatment
651,control
652,control
656,treatment
657,treatment
658,control
659,control
661,control
662,treatment
669,treatment
670,control
671,treatment
673,treatment
675,control
676,treatment
678,treatment
679,control
682,control
686,treatment
687,treatment
691,treatment
692,treatment
693,control
698,control
702,control
705,treatment
709,treatment
710,control
711,control
716,treatment
717,control
718,treatment
722,control
724,treatment
725,treatment
734,treatment
736,treatment
737,control
740,control
743,control
744,treatment
745,treatment
746,control
747,control
749,treatment
752,treatment
754,control
755,treatment
756,control
757,control
758,control
759,treatment
760,treatment
762,control
764,treatment
765,treatment
766,treatment
767,control
771,treatment
773,control
789,treatment
790,treatment
798,treatment
800,control
801,control
802,treatment
804,treatment
810,control
811,control
813,treatment
821,treatment
828,treatment
839,treatment
855,treatment
866,treatment
868,treatment
881,treatment
