date,geo,pair,assignment,response,cost
2024-04-01,500,0,2,0.0,0.0
2024-04-01,502,1,2,0.0,0.0
2024-04-01,503,2,2,0.0,0.0
2024-04-01,505,3,2,0.0,0.0
2024-04-01,507,0,1,7.0,22.61157029242424
2024-04-01,508,1,1,0.0,0.0
2024-04-01,509,4,2,0.0,0.0
2024-04-01,510,5,2,0.0,0.0
2024-04-01,513,2,1,0.0,0.0
2024-04-01,514,3,1,0.0,0.0
2024-04-01,515,6,2,0.0,0.0
2024-04-01,516,4,1,0.0,0.0
2024-04-01,518,7,2,0.0,0.0
2024-04-01,519,8,2,0.0,0.0
2024-04-01,520,9,2,0.0,0.0
2024-04-01,521,10,2,0.0,0.0
2024-04-01,522,5,1,0.0,0.0
2024-04-01,523,11,2,0.0,0.0
2024-04-01,525,12,2,0.0,0.0
2024-04-01,526,6,1,0.0,0.0
2024-04-01,527,13,2,0.0,0.0
2024-04-01,529,14,2,0.0,0.0
2024-04-01,530,7,1,1.0,5.76213257
2024-04-01,531,8,1,0.0,0.0
2024-04-01,532,9,1,0.0,0.0
2024-04-01,535,10,1,0.0,0.0
2024-04-01,536,15,2,0.0,0.0
2024-04-01,537,16,2,0.0,0.0
2024-04-01,538,17,2,0.0,0.0
2024-04-01,539,18,2,5.0,7.383
2024-04-01,540,19,2,0.0,0.0
2024-04-01,541,20,2,0.0,0.0
2024-04-01,542,11,1,0.0,0.0
2024-04-01,543,21,2,0.0,0.0
2024-04-01,544,22,2,0.0,0.0
2024-04-01,545,23,2,0.0,0.0
2024-04-01,546,12,1,0.0,0.0
2024-04-01,547,13,1,0.0,0.0
2024-04-01,549,14,1,0.0,0.0
2024-04-01,550,24,2,0.0,0.0
2024-04-01,551,15,1,0.0,0.0
2024-04-01,552,25,2,0.0,0.0
2024-04-01,553,16,1,0.0,0.0
2024-04-01,554,26,2,0.0,0.0
2024-04-01,555,17,1,0.0,0.0
2024-04-01,556,27,2,0.0,0.0
2024-04-01,557,18,1,0.0,0.0
2024-04-01,558,19,1,0.0,0.0
2024-04-01,559,28,2,0.0,0.0
2024-04-01,561,20,1,4.0,30.72823865
