pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
0,105,19850.0,205431.41706673504,10.349189776661715,15000.0,0,0.06015512778311567,0.002909906625328104,1.0,0.06015512778311567,0.002909906625328104,0.06316049440582971,0.0600772996873395,0.005234870635381969,0.004248106600429421,0.047190476190476185,0.0027748354384503305,0.4674167317744491,0.022422312301013537
1,104,15947.0,153343.81338077894,9.615840808978424,15000.0,0,0.036842372534645826,0.0016943907430708696,0.7464477224092979,0.049356936096918165,0.002269938928344386,0.046533807594856855,0.0364416902599195,0.006000300736355882,0.002576816630068884,0.053125,0.002713602264629458,0.41889159823478556,0.019352991818239733
2,103,13175.0,123162.87465860158,9.34822578053902,15000.0,0,0.038139602910481615,0.0017868422261663626,0.5995328096217714,0.06361553913044865,0.0029803910603218393,0.03863058069386163,0.0381665990089036,0.0022854926519917437,0.00269878609740235,0.06378640776699028,0.0024298760506617366,0.4869823595195056,0.015592995223323834
3,102,12265.0,116913.40977534535,9.532279639245443,15000.0,0,0.03279997894705278,0.0014735204903478525,0.5691116356237063,0.0576336467116971,0.002589158959529931,0.03578909863578514,0.03275044881834834,-0.002934225726297693,0.0023158064446357064,0.06593137254901961,0.0022912663459591373,0.5113885120023413,0.013003816438451476
4,101,10378.0,109750.43130745213,10.575296907636552,15000.0,0,0.03197804879355207,0.0015354429135336874,0.5342436559827621,0.059856674825136104,0.002874049876566489,0.0327132630616199,0.032056708807565414,0.0003181005621188314,0.002266751618035203,0.062326732673267334,0.002491164802230664,0.46582038511117124,0.015207143619291211
5,100,9922.0,103377.13921169641,10.418981980618465,15000.0,0,0.030580554288942987,0.0015067319291832886,0.5032197153082677,0.060769785758909754,0.002994183024526928,0.032916043937895864,0.0304742048783653,0.003337143009409212,0.002154851692076027,0.06795,0.002457986163488212,0.5125380394786532,0.014966124767568695
6,99,8940.0,91676.71094041521,10.254665653290292,15000.0,0,0.028981345778846198,0.0012177183939509743,0.446264316575462,0.06494210875125064,0.002728693172905886,0.02868628092052611,0.028955976802669797,0.00237950699080267,0.0020474967553048176,0.0592929292929293,0.002337094476851502,0.4444446026347977,0.014959396117185634
7,98,8738.0,88463.05829270622,10.12394807652852,15000.0,0,0.025981066140632048,0.0013356334082367844,0.43062088338692966,0.06033396693696122,0.003101645692916072,0.027945667772007566,0.026041327256514434,-0.0005057925952599704,0.0018413999094179427,0.06438775510204081,0.0020129234261826775,0.48287263458646307,0.011959577620530983
8,97,8112.0,80983.22602764142,9.983139303210233,15000.0,0,0.022961863909316215,0.001208383150289422,0.3942105213699313,0.058247719592873476,0.003065324451742531,0.02505401584815802,0.02301720123337907,0.0003234182047765709,0.0016275619076057705,0.06396907216494846,0.0020699957175923044,0.45082027594944335,0.011434290440601338
9,96,7727.0,75427.24742797331,9.761517720716101,15000.0,0,0.022847235949380675,0.0012398123222763845,0.3671651031033415,0.06222605513506588,0.0033767161197980995,0.024748080272216488,0.02290418202582212,0.00013283081735651994,0.0016195702427989856,0.06369791666666667,0.002070439449335681,0.4590949331175008,0.012753420100948732
