pair_index,num_pairs,experiment_response,experiment_spend,spend_response_ratio,budget,iroas,rmse,rmse_std,proportion_cost_in_experiment,rmse_cost_adjusted,rmse_cost_adjusted_std,cihw,std,bias,bias_std,trim_rate,trim_rate_std,trim_rate_cost,trim_rate_cost_std
0,87,304723973.43934804,3497444.91659664,0.011477419636931743,14291.875391981603,0,4.676662675726774,0.1859507016442263,1.0,4.676662675726774,0.1859507016442263,5.843203750150338,4.668550683821612,-0.4298664008290459,0.3301163846843356,0.08448275862068966,0.0006402840600468853,0.2682103624177269,0.0036543238367593308
1,86,302055656.3391781,3465257.66224234,0.011472248870424081,14291.875391981603,0,4.411230367807442,0.20221036650389917,0.9907969231476499,4.452204346571305,0.20408860966332,5.355778107679881,4.422186243126797,0.03163613141928318,0.312695788018482,0.07761627906976747,0.00048019201501958405,0.2580358769941004,0.0031749288175575313
2,85,296258396.583358,3399491.8340378404,0.01147475269306444,14291.875391981603,0,4.437360904016104,0.1813080327004646,0.9719929591760039,4.565219184074982,0.18653224901357973,5.021045098479104,4.447820715492475,0.07731895571230321,0.31450841894267306,0.08317647058823528,0.0010025441025411045,0.27615290936695513,0.00519197691834879
3,84,290750289.911068,3328118.90849584,0.011446657231240644,14291.875391981603,0,4.106318197376344,0.19355329853909028,0.9515857970207661,4.3152369552303576,0.20340078545210408,4.640985603750659,4.116417956051703,0.040949153150609124,0.29107470509222266,0.08291666666666668,0.0010451412839088848,0.279698701062224,0.005217922144060146
4,83,288426533.126038,3301673.40202964,0.011447190264520008,14291.875391981603,0,3.619177690660995,0.17888766221565416,0.9440244180435857,3.8337755056817793,0.1894947405983252,4.391327650786833,3.6264353371666864,-0.1147565605978662,0.25642770184450875,0.08361445783132532,0.001062077699250251,0.29712515499383035,0.004733778263760881
5,82,284509920.46988803,3253993.61487324,0.011437188585547533,14291.875391981603,0,3.6254544962891213,0.1738875749956743,0.9303916694818736,3.8966970741559877,0.18689717535036687,4.428539588126359,3.6307547633161743,0.16568661405387,0.2567331313966225,0.08030487804878048,0.0007550189199307884,0.290025056692861,0.003992880419915206
6,81,256014049.346188,2964838.13049524,0.01158076339195791,14291.875391981603,0,3.183267612746458,0.14806724025537193,0.8477154612002642,3.7551133115341906,0.17466620231949803,3.8766093289519814,3.1784317006963914,-0.2850907903611341,0.22474906091007094,0.08685185185185185,0.0007943149687121195,0.27489727019135074,0.0025036228575345066
7,80,250264273.756498,2899000.45008274,0.011583756668774096,14291.875391981603,0,3.1020592601298036,0.13921383588768085,0.8288909530285767,3.742421423222914,0.16795193068403697,3.6658352376560375,3.0838627121800686,-0.40014181476113014,0.21806202360308646,0.08425,0.0008323696270166875,0.2649362142524982,0.002373349652114268
8,79,240315890.574798,2793183.28249274,0.01162296540529169,14291.875391981603,0,2.662531637958753,0.16310867415676633,0.7986353892917873,3.333851308943157,0.2042342179469502,3.5096745677555083,2.6442752200832476,-0.3631036226516385,0.18697849394444147,0.0749367088607595,0.0007473102047806294,0.23099596050407448,0.002057370171911017
9,78,237178575.033808,2758144.2874079403,0.011628977393994327,14291.875391981603,0,2.8008771160605628,0.13408915002485627,0.7886169341279827,3.5516319709234336,0.17003077694892013,3.5137707867329304,2.8039429824543074,0.1487509719674217,0.19826870969538735,0.07628205128205127,0.000775167146454789,0.23435359322214183,0.0022389895530779418
