date,geo,pair,assignment,response,cost
2020-01-01,2,0,2,21636.51001,228.6689312
2020-01-01,3,1,2,47155.56012,536.0182842
2020-01-01,8,2,2,34776.15361,495.6830216
2020-01-01,10,3,2,121718.6754,1396.1282
2020-01-01,11,0,1,91483.62022,1087.281349
2020-01-01,14,1,1,22073.9759,300.3867052
2020-01-01,15,2,1,53774.75627,594.9981521
2020-01-01,18,3,1,28537.82915,305.4599366
2020-01-01,19,4,2,26711.5942,285.9278474
2020-01-01,20,4,1,70103.24424,893.2934988
2020-01-01,21,5,2,84308.68114,905.8405103
2020-01-01,22,5,1,26822.19332,363.1729955
2020-01-01,23,6,1,14749.59498,184.4583045
2020-01-01,24,6,2,23648.97372,291.7673367
2020-01-01,25,7,2,99662.82252,1264.519217
2020-01-01,27,7,1,11253.73462,128.4362522
2020-01-01,28,8,1,111549.9353,1295.504201
2020-01-01,29,8,2,21912.69535,244.695828
2020-01-01,30,9,1,26926.68854,298.8606234
2020-01-01,33,10,1,12768.93471,194.7226341
2020-01-01,35,9,2,11808.49093,119.4753863
2020-01-01,36,11,1,26321.07908,342.1256163
2020-01-01,38,10,2,73695.84971,986.6778177
2020-01-01,39,11,2,11477.89348,168.2987262
2020-01-01,40,12,1,129982.1858,1486.296683
2020-01-01,41,13,1,44923.38352,528.8502415
2020-01-01,42,12,2,10239.60286,205.8825834
2020-01-01,44,14,1,91069.49897,1076.820115
2020-01-01,45,13,2,53709.74185,655.121343
2020-01-01,46,14,2,39288.18515,424.0116168
2020-01-01,49,15,2,31672.6325,370.5726087
2020-01-01,50,15,1,16261.23938,223.9776608
2020-01-01,51,16,1,122218.3649,1367.503799
2020-01-01,52,17,1,67917.44787,816.3252537
2020-01-01,53,18,1,18982.82713,247.2310117
2020-01-01,54,16,2,53177.81907,555.2917577
2020-01-01,55,17,2,47850.11465,548.6657863
2020-01-01,57,19,1,33922.91808,434.802846
2020-01-01,59,20,1,118589.9854,1382.887629
2020-01-01,61,21,1,10570.93797,146.0290222
2020-01-01,63,18,2,49089.66075,618.081217
2020-01-01,64,19,2,13315.41159,164.328401
2020-01-01,66,20,2,83221.36149,944.0370413
2020-01-01,68,22,1,198353.9011,2046.197918
2020-01-01,69,21,2,61874.43128,759.9849137
2020-01-01,71,23,1,38389.05278,465.3659726
2020-01-01,72,24,1,30645.35033,377.417399
2020-01-01,74,22,2,26476.38115,318.1697872
2020-01-01,75,25,1,38268.499,478.629761
2020-01-01,77,23,2,42920.41191,504.6338463
2020-01-01,80,24,2,35850.23503,452.3824539
2020-01-01,81,25,2,44391.87988,471.0384373
2020-01-01,83,26,1,13069.16251,177.1423866
2020-01-01,84,26,2,42083.29083,517.5764786
2020-01-01,86,27,2,46293.28985,479.6229742
2020-01-01,88,28,2,81921.60944,982.8182856
2020-01-01,89,27,1,86370.80555,1057.917461
2020-01-01,90,29,2,30478.97072,403.3299782
2020-01-01,91,28,1,129057.1402,1495.821049
2020-01-01,92,30,2,65618.02166,691.0295865
2020-01-01,93,31,2,31643.39691,365.6194961
2020-01-01,97,32,2,35937.22813,381.7834953
2020-01-01,98,33,2,63894.63666,714.6736294
2020-01-01,102,29,1,22001.24072,228.6689312
2020-01-01,103,30,1,47875.48505,536.0182842
2020-01-01,108,31,1,34751.65323,495.6830216
2020-01-01,110,32,1,122141.5655,1396.1282
2020-01-01,111,34,2,91249.94569,1087.281349
2020-01-01,114,35,2,21762.86202,300.3867052
2020-01-01,115,36,2,53924.84315,594.9981521
2020-01-01,118,37,2,28577.99835,305.4599366
2020-01-01,119,33,1,26648.01479,285.9278474
2020-01-01,120,38,2,70858.58145,893.2934988
2020-01-01,121,34,1,84554.29841,905.8405103
2020-01-01,122,39,2,26333.2883,363.1729955
2020-01-01,123,40,2,14645.65041,184.4583045
2020-01-01,124,35,1,23297.8005,291.7673367
2020-01-01,125,36,1,99093.83459,1264.519217
2020-01-01,127,41,2,11161.18869,128.4362522
2020-01-01,128,42,2,112625.6667,1295.504201
2020-01-01,129,37,1,21821.46089,244.695828
2020-01-01,130,43,2,27180.77782,298.8606234
2020-01-01,133,44,2,12778.34485,194.7226341
2020-01-01,135,38,1,11754.98421,119.4753863
2020-01-01,136,45,2,26449.95048,342.1256163
2020-01-01,138,39,1,73418.46821,986.6778177
2020-01-01,139,40,1,11681.8775,168.2987262
2020-01-01,140,46,2,132227.6198,1486.296683
2020-01-01,141,47,2,44438.42694,528.8502415
2020-01-01,142,41,1,10324.52497,205.8825834
2020-01-01,144,48,2,89014.7785,1076.820115
2020-01-01,145,42,1,52826.42858,655.121343
2020-01-01,146,43,1,39004.16076,424.0116168
2020-01-01,149,44,1,31923.33964,370.5726087
2020-01-01,150,49,2,15767.37405,223.9776608
2020-01-01,151,50,2,123393.8441,1367.503799
2020-01-01,152,51,2,68242.95582,816.3252537
2020-01-01,153,52,2,19574.76159,247.2310117
2020-01-01,154,45,1,53666.61445,555.2917577
2020-01-01,155,46,1,48049.02782,548.6657863
2020-01-01,157,53,2,34124.40728,434.802846
2020-01-01,159,54,2,119061.9312,1382.887629
2020-01-01,161,55,2,10569.23248,146.0290222
2020-01-01,163,47,1,49012.77451,618.081217
2020-01-01,164,48,1,13299.90187,164.328401
2020-01-01,166,49,1,81697.37468,944.0370413
2020-01-01,168,56,2,193413.371,2046.197918
2020-01-01,169,50,1,62114.56701,759.9849137
2020-01-01,171,57,2,38400.12373,465.3659726
2020-01-01,172,58,2,30399.2396,377.417399
2020-01-01,174,51,1,26929.63195,318.1697872
2020-01-01,175,59,2,38179.01749,478.629761
2020-01-01,177,52,1,43195.25411,504.6338463
2020-01-01,180,53,1,36065.48166,452.3824539
2020-01-01,181,54,1,44143.73813,471.0384373
2020-01-01,183,60,2,13052.06535,177.1423866
2020-01-01,184,55,1,42108.55669,517.5764786
2020-01-01,186,56,1,45858.61433,479.6229742
2020-01-01,188,57,1,81636.60648,982.8182856
2020-01-01,189,61,2,85751.18343,1057.917461
2020-01-01,190,58,1,30337.71082,403.3299782
2020-01-01,191,62,2,129199.8548,1495.821049
2020-01-01,192,59,1,66056.92215,691.0295865
2020-01-01,193,60,1,31113.32464,365.6194961
2020-01-01,197,61,1,35082.28246,381.7834953
2020-01-01,198,62,1,63974.96582,714.6736294
2020-01-02,2,0,2,21931.43007,278.8233333
2020-01-02,3,1,2,47488.3631,582.2785147
2020-01-02,8,2,2,35067.30291,455.6771395
2020-01-02,10,3,2,123609.9407,1510.631294
2020-01-02,11,0,1,92913.0587,1083.947026
2020-01-02,14,1,1,22081.1761,254.7116953
2020-01-02,15,2,1,54147.69041,716.4716116
2020-01-02,18,3,1,28704.42933,320.6235943
2020-01-02,19,4,2,27047.6759,312.6549498
2020-01-02,20,4,1,70748.02046,861.7155125
2020-01-02,21,5,2,87162.68336,956.9800783
2020-01-02,22,5,1,27099.15993,309.6689729
2020-01-02,23,6,1,14824.80562,159.4874652
2020-01-02,24,6,2,24155.39602,272.758382
2020-01-02,25,7,2,101186.1123,1219.160722
2020-01-02,27,7,1,11156.52261,195.3793925
2020-01-02,28,8,1,113351.6121,1179.497171
2020-01-02,29,8,2,22177.6748,320.9041412
2020-01-02,30,9,1,26987.71747,291.4860719
2020-01-02,33,10,1,12950.91592,231.5881056
2020-01-02,35,9,2,11912.79744,128.6842281
2020-01-02,36,11,1,26750.66107,316.5297121
2020-01-02,38,10,2,74666.39871,868.0700371
2020-01-02,39,11,2,11693.39143,159.1156949
2020-01-02,40,12,1,130242.4083,1447.069388
2020-01-02,41,13,1,45240.47848,593.1873966
2020-01-02,42,12,2,10396.73202,210.8283073
2020-01-02,44,14,1,89977.82597,944.7363077
2020-01-02,45,13,2,54013.42307,702.2130765
2020-01-02,46,14,2,38468.67628,425.9049905
2020-01-02,49,15,2,32184.32954,388.8116917
2020-01-02,50,15,1,16785.2136,174.6453949
2020-01-02,51,16,1,122204.1474,1350.994798
2020-01-02,52,17,1,67470.49923,734.4784736
2020-01-02,53,18,1,18854.10632,248.9370566
2020-01-02,54,16,2,54621.90791,630.7957089
2020-01-02,55,17,2,47621.83672,493.0098731
2020-01-02,57,19,1,34575.67363,401.6457303
2020-01-02,59,20,1,119433.8626,1408.717601
2020-01-02,61,21,1,10538.17385,125.3761849
2020-01-02,63,18,2,49934.6624,630.161842
2020-01-02,64,19,2,13631.5531,145.8406711
2020-01-02,66,20,2,84120.45075,935.2724029
2020-01-02,68,22,1,197495.4526,2160.621408
2020-01-02,69,21,2,61251.36485,709.5380076
2020-01-02,71,23,1,38262.9035,460.6076001
2020-01-02,72,24,1,30667.90126,410.1157257
2020-01-02,74,22,2,27280.83316,347.8132123
2020-01-02,75,25,1,39017.74994,438.2373828
2020-01-02,77,23,2,43397.20731,456.3447706
2020-01-02,80,24,2,36111.85218,489.3611033
2020-01-02,81,25,2,44888.62162,484.2011779
2020-01-02,83,26,1,12987.68472,143.6353437
2020-01-02,84,26,2,42438.92413,513.758365
2020-01-02,86,27,2,47438.9216,561.707918
2020-01-02,88,28,2,82632.01395,888.6407698
2020-01-02,89,27,1,88523.27372,911.6104829
2020-01-02,90,29,2,30918.08663,388.1687519
2020-01-02,91,28,1,129418.4647,1368.540002
2020-01-02,92,30,2,65914.92229,744.3388134
2020-01-02,93,31,2,32052.19414,344.996588
