sign_date,postal_code,city,households_signed_utc
2/18/2025,,,1
2/18/2025,03060,Nashua,1
2/18/2025,06370,Montville,1
2/18/2025,21209,Baltimore,1
2/18/2025,32792,Winter Park,1
2/18/2025,60030,Grayslake,1
2/18/2025,91942,La Mesa,1
2/18/2025,92078,San Marcos,1
2/17/2025,11385,Queens,1
2/17/2025,20902,Silver Spring,1
2/17/2025,30024,Suwanee,1
2/17/2025,33705,St. Petersburg,1
2/17/2025,48101,Allen Park,1
2/17/2025,78613,Cedar Park,1
2/17/2025,94507,Alamo,1
2/17/2025,98004,Bellevue,1
2/15/2025,83703,Boise,1
2/14/2025,,,1
2/14/2025,03062,Nashua,1
2/14/2025,18643,West Pittston,1
2/14/2025,22046,Falls Church,1
2/14/2025,55449,Blaine,1
2/14/2025,78642,Liberty,1
2/14/2025,79707,Midland,1
2/14/2025,85018,Phoenix,1
2/13/2025,,,1
2/13/2025,32779,Longwood,1
2/13/2025,33026,Pembroke Pines,1
2/13/2025,44070,North Olmsted,1
2/13/2025,55446,Plymouth,1
2/13/2025,60647,Chicago,2
2/13/2025,75224,Dallas,1
2/13/2025,76642,Groesbeck ,1
2/13/2025,78748,Austin,1
2/13/2025,80820,Guffey,1
2/13/2025,91607,Valley Village,1
2/12/2025,,,2
2/12/2025,10570,Pleasantville,1
2/12/2025,11040,New Hyde Park,1
2/12/2025,17404,YORK,1
2/12/2025,21108,Millersville,1
2/12/2025,33408,North Palm Beach,1
2/12/2025,43028,Howard,1
2/12/2025,45215,Cincinnati,1
2/12/2025,84041,Layton,1
2/12/2025,90036,Los Angeles,1
2/12/2025,95132,San Jose,1
2/11/2025,,,1
2/11/2025,01749,Hudson,1
2/11/2025,01907,Swampscott,1
2/11/2025,10469,Bronx,1
2/11/2025,11216,Brooklyn,1
2/11/2025,11222,Brooklyn,1
2/11/2025,20155,Gainesville,1
2/11/2025,33076,Parkland,1
2/11/2025,63123,St. Louis,1
2/11/2025,85706,Tucson,1
2/11/2025,92130,San Diego,1
2/11/2025,94610,Piedmont,1
2/11/2025,98102,Seattle,1
2/11/2025,98311,Bremerton,1
2/10/2025,10562,Ossining,1
2/10/2025,21060,Glen Burnie,1
2/10/2025,28277,Charlotte,1
2/10/2025,30315,Atlanta,1
2/10/2025,38804,Tupelo,1
2/10/2025,75071,McKinney,1
2/10/2025,80210,Denver,1
2/10/2025,85338,Goodyear,1
2/10/2025,85718,Tucson,1
2/10/2025,94501,Alameda,1
2/10/2025,94609,Oakland,1
2/10/2025,95742,Rancho Cordova,1
2/10/2025,97217,Portland,1
2/9/2025,,,1
2/9/2025,38017,Collierville,1
2/9/2025,95032,Los Gatos,1
2/8/2025,10024,New York,1
2/8/2025,75701,Tyler,1
2/8/2025,90630,Cypress,1
2/8/2025,98198,Des Moines,1
2/7/2025,,,2
2/7/2025,02129,Boston,1
2/7/2025,07081,Springfield,1
2/7/2025,08080,Sewell,1
2/7/2025,27591,Wendell,1
2/7/2025,27609,Raleigh,1
2/7/2025,29607,Greenville,1
2/7/2025,32579,Shalimar,1
2/7/2025,32765,Oviedo,1
2/7/2025,34201,Bradenton,1
2/7/2025,48236,Grosse Pointe Shores,1
2/7/2025,63123,St. Louis,1
2/7/2025,75209,Dallas,1
2/7/2025,75230,Dallas ,1
2/7/2025,90403,Santa Monica,1
2/7/2025,94062,Emerald Hills,1
2/7/2025,95301,ATWATER,1
2/7/2025,97210,Portland,1
2/7/2025,99508,Anchorage,1
2/6/2025,11237,Brooklyn,1
2/6/2025,19143,Philadelphia,1
2/6/2025,22003,Annandale,1
2/6/2025,28110,Monroe,1
2/6/2025,30132,Dallas,1
2/6/2025,46231,Indianapolis,1
2/6/2025,60140,Hampshire,1
2/6/2025,76116,Fort Worth,1
2/6/2025,90036,los angeles ,1
2/6/2025,91343,Los Angeles,1
2/6/2025,92104,San Diego,1
2/6/2025,94061,Redwood City,1
2/6/2025,94571,Rio Vista,1
2/5/2025,,,2
2/5/2025,07748,Middletown Township,1
2/5/2025,11050,Port Washington,1
2/5/2025,11230,Brooklyn,1
2/5/2025,30022,Johns Creek,1
2/5/2025,46902,Kokomo,1
2/5/2025,54021,Prescott,1
2/5/2025,62269,O'Fallon,1
2/5/2025,73162,Oklahoma City,1
2/5/2025,80232,Lakewood,1
2/5/2025,84095,South Jordan,1
2/5/2025,90046,West Hollywood,1
2/5/2025,92630,Lake Forest,1
2/5/2025,94568,Dublin,1
2/5/2025,98005,Bellevue,1
2/4/2025,,,1
2/4/2025,03110,Bedford,1
2/4/2025,11205,Brooklyn,1
2/4/2025,11233,Brooklyn,1
2/4/2025,12850,Middle Grove,1
2/4/2025,20001,Washington,1
2/4/2025,20176,Leesburg,1
2/4/2025,20189,Dulles,1
2/4/2025,20650,Leonardtown,1
2/4/2025,33143,Miami,1
2/4/2025,36532,Fairhope,1
2/4/2025,40245,Louisville,1
2/4/2025,55408,Minneapolis,1
2/4/2025,81601,Glenwood Springs,1
2/4/2025,96367,APO,1
2/3/2025,,,1
2/3/2025,02067,Sharon,1
2/3/2025,02135,Brighton,1
2/3/2025,10583,Scarsdale,1
2/3/2025,33907,Fort Myers,1
2/3/2025,33912,Fort Myers,1
2/3/2025,34737,Howey in the Hills,1
2/3/2025,49525,Grand Rapids,1
2/3/2025,63116,St. Louis,1
2/3/2025,79903,El Paso,1
2/3/2025,85743,Tucson,1
2/3/2025,89703,Carson City,1
2/3/2025,91320,Thousand Oaks,1
2/3/2025,91790,West Covina,1
2/2/2025,10036,New York,1
2/1/2025,27601,Raleigh,1
2/1/2025,86303,Prescott,1
2/1/2025,95661,Roseville,1
2/1/2025,98115,Seattle ,1
1/31/2025,,,1
1/31/2025,07442,Pompton Lakes,1
1/31/2025,08057,Moorestown,1
1/31/2025,10570,Pleasantville,1
1/31/2025,11216,Brooklyn,1
1/31/2025,11222,Brooklyn,1
1/31/2025,11375,Forest Hills,1
1/31/2025,21228,Catonsville,1
1/31/2025,21230,Baltimore,1
1/31/2025,30316,Atlanta,1
1/31/2025,30328,Atlanta,1
1/31/2025,36322,Daleville,1
1/31/2025,55008,Cambridge,1
1/31/2025,60532,Lisle,1
1/31/2025,61075,Scales Mound,1
1/31/2025,67451,Hope,1
1/31/2025,68102,OMAHA,1
1/31/2025,85085,Phoenix,1
1/31/2025,87505,Santa Fe,1
1/31/2025,91214,La Crescenta,1
1/31/2025,92115,San Diego,1
1/31/2025,92656,Aliso Viejo,1
1/31/2025,93555,Ridgecrest,1
1/31/2025,98204,Everett,1
1/31/2025,99693,Whittier,1
1/30/2025,,,1
1/30/2025,01741,Carlisle,1
1/30/2025,01886,Westford,1
1/30/2025,06770,Naugatuck,1
1/30/2025,08043,Voorhees Township,1
1/30/2025,10924,Goshen,1
1/30/2025,11207,Brooklyn,1
1/30/2025,11211,Brooklyn,1
1/30/2025,20105,Stone Ridge,1
1/30/2025,21401,Annapolis,1
1/30/2025,22204,Arlington,1
1/30/2025,28134,Pineville,1
1/30/2025,29687,Taylors,1
1/30/2025,33186,Miami,1
1/30/2025,37421,Chattanooga,1
1/30/2025,55423,Richfield,1
1/30/2025,75070,McKinney,1
1/30/2025,77006,Houston,1
1/30/2025,90034,Los Angeles,1
1/30/2025,90039,Los Angeles,1
1/30/2025,90740,Seal Beach,1
1/30/2025,91403,Los Angeles,1
1/29/2025,01863,North Chelmsford,1
1/29/2025,04093,Buxton,1
1/29/2025,07470,Wayne,1
1/29/2025,08802,Union Township,1
1/29/2025,11218,Brooklyn,1
1/29/2025,14534,Pittsford,1
1/29/2025,20001,Washington,1
1/29/2025,20774,Upper Marlboro,1
1/29/2025,28215,Charlotte,1
1/29/2025,28277,Charlotte,1
1/29/2025,28278,Charlotte,1
1/29/2025,30066,Marietta,1
1/29/2025,30909,Augusta,1
1/29/2025,32205,Jacksonville,1
1/29/2025,32903,Melbourne,1
1/29/2025,33166,Miami Springs,1
1/29/2025,40213,Louisville,1
1/29/2025,46239,Indianapolis,1
1/29/2025,55347,Eden Prairie,1
1/29/2025,60608,Chicago,1
1/29/2025,60626,Chicago ,1
1/29/2025,60639,Chicago,1
1/29/2025,62536,Glenarm,1
1/29/2025,63143,Saint Louis,1
1/29/2025,68022,Elkhorn,1
1/29/2025,75238,Dallas,1
1/29/2025,91786,Upland,1
1/29/2025,92647,Huntington Beach,1
1/29/2025,94619,Oakland,1
1/29/2025,97330,Corvallis,1
1/29/2025,98042,Covington,1
1/28/2025,02140,Cambridge,1
1/28/2025,07042,Montclair,1
1/28/2025,07307,Jersey City,1
1/28/2025,19460,Phoenixville,1
1/28/2025,20010,Washington,1
1/28/2025,22201,Arlington,1
1/28/2025,22315,Alexandria,1
1/28/2025,30024,Suwanee,1
1/28/2025,44685,Uniontown,1
1/28/2025,44903,Ontario,1
1/28/2025,77381,The Woodlands,1
1/28/2025,80104,Castle Rock,1
1/28/2025,95127,San Jose,1
1/27/2025,03462,Chesterfield,1
1/27/2025,10035,New York,1
1/27/2025,11372,Jackson Heights,1
1/27/2025,80238,Denver,1
1/27/2025,87113,Albuquerque,1
1/27/2025,95035,Milpitas,1
1/26/2025,85023,Phoenix,1
1/25/2025,01801,Woburn,1
1/25/2025,11201,Brooklyn,1
1/24/2025,01801,Woburn,1
1/24/2025,07302,jersey city,1
1/24/2025,11434,Queens,1
1/24/2025,20816,Bethesda,1
1/24/2025,30157,,1
1/24/2025,33912,Fort Myers,1
1/24/2025,77479,,1
1/24/2025,80021,Westminster,1
1/24/2025,80237,Denver,1
1/24/2025,98115,Seattle,1
1/24/2025,98625,Kalama,1
1/23/2025,02118,Boston,1
1/23/2025,02818,East Greenwich,1
1/23/2025,19460,Phoenixville,1
1/23/2025,19522,Fleetwood,1
1/23/2025,21117,Owings Mills,1
1/23/2025,21629,Denton,1
1/23/2025,22180,Vienna,1
1/23/2025,32804,Orlando,1
1/23/2025,60187,Wheaton,1
1/23/2025,72712,Bentonville,1
1/23/2025,75019,coppell,1
