zip_code,zip_code_leading_zero,dma_code,dma_name,dma_name_facebook,dma_name_googleads
11005,11005,501,New York,New York,"New York, NY"
11010,11010,501,New York,New York,"New York, NY"
11020,11020,501,New York,New York,"New York, NY"
11021,11021,501,New York,New York,"New York, NY"
11023,11023,501,New York,New York,"New York, NY"
11024,11024,501,New York,New York,"New York, NY"
11030,11030,501,New York,New York,"New York, NY"
11040,11040,501,New York,New York,"New York, NY"
11042,11042,501,New York,New York,"New York, NY"
11050,11050,501,New York,New York,"New York, NY"
11096,11096,501,New York,New York,"New York, NY"
11101,11101,501,New York,New York,"New York, NY"
11102,11102,501,New York,New York,"New York, NY"
11103,11103,501,New York,New York,"New York, NY"
11104,11104,501,New York,New York,"New York, NY"
11105,11105,501,New York,New York,"New York, NY"
11106,11106,501,New York,New York,"New York, NY"
11109,11109,501,New York,New York,"New York, NY"
11201,11201,501,New York,New York,"New York, NY"
11202,11202,501,New York,New York,"New York, NY"
11203,11203,501,New York,New York,"New York, NY"
11204,11204,501,New York,New York,"New York, NY"
11205,11205,501,New York,New York,"New York, NY"
11206,11206,501,New York,New York,"New York, NY"
11207,11207,501,New York,New York,"New York, NY"
11208,11208,501,New York,New York,"New York, NY"
11209,11209,501,New York,New York,"New York, NY"
11210,11210,501,New York,New York,"New York, NY"
11211,11211,501,New York,New York,"New York, NY"
11212,11212,501,New York,New York,"New York, NY"
11213,11213,501,New York,New York,"New York, NY"
11214,11214,501,New York,New York,"New York, NY"
11215,11215,501,New York,New York,"New York, NY"
11216,11216,501,New York,New York,"New York, NY"
11217,11217,501,New York,New York,"New York, NY"
11218,11218,501,New York,New York,"New York, NY"
11219,11219,501,New York,New York,"New York, NY"
11220,11220,501,New York,New York,"New York, NY"
11221,11221,501,New York,New York,"New York, NY"
11222,11222,501,New York,New York,"New York, NY"
11223,11223,501,New York,New York,"New York, NY"
11224,11224,501,New York,New York,"New York, NY"
11225,11225,501,New York,New York,"New York, NY"
11226,11226,501,New York,New York,"New York, NY"
11228,11228,501,New York,New York,"New York, NY"
11229,11229,501,New York,New York,"New York, NY"
11230,11230,501,New York,New York,"New York, NY"
11231,11231,501,New York,New York,"New York, NY"
11232,11232,501,New York,New York,"New York, NY"
11233,11233,501,New York,New York,"New York, NY"
11234,11234,501,New York,New York,"New York, NY"
11235,11235,501,New York,New York,"New York, NY"
11236,11236,501,New York,New York,"New York, NY"
11237,11237,501,New York,New York,"New York, NY"
11238,11238,501,New York,New York,"New York, NY"
11239,11239,501,New York,New York,"New York, NY"
11241,11241,501,New York,New York,"New York, NY"
11242,11242,501,New York,New York,"New York, NY"
11243,11243,501,New York,New York,"New York, NY"
11249,11249,501,New York,New York,"New York, NY"
11252,11252,501,New York,New York,"New York, NY"
11354,11354,501,New York,New York,"New York, NY"
11355,11355,501,New York,New York,"New York, NY"
11356,11356,501,New York,New York,"New York, NY"
11357,11357,501,New York,New York,"New York, NY"
11358,11358,501,New York,New York,"New York, NY"
11360,11360,501,New York,New York,"New York, NY"
11361,11361,501,New York,New York,"New York, NY"
11362,11362,501,New York,New York,"New York, NY"
11363,11363,501,New York,New York,"New York, NY"
11364,11364,501,New York,New York,"New York, NY"
11365,11365,501,New York,New York,"New York, NY"
11366,11366,501,New York,New York,"New York, NY"
11367,11367,501,New York,New York,"New York, NY"
11368,11368,501,New York,New York,"New York, NY"
11369,11369,501,New York,New York,"New York, NY"
11370,11370,501,New York,New York,"New York, NY"
11371,11371,501,New York,New York,"New York, NY"
11372,11372,501,New York,New York,"New York, NY"
11373,11373,501,New York,New York,"New York, NY"
11374,11374,501,New York,New York,"New York, NY"
11375,11375,501,New York,New York,"New York, NY"
11377,11377,501,New York,New York,"New York, NY"
11378,11378,501,New York,New York,"New York, NY"
11379,11379,501,New York,New York,"New York, NY"
11381,11381,501,New York,New York,"New York, NY"
11385,11385,501,New York,New York,"New York, NY"
11411,11411,501,New York,New York,"New York, NY"
11412,11412,501,New York,New York,"New York, NY"
11413,11413,501,New York,New York,"New York, NY"
11414,11414,501,New York,New York,"New York, NY"
11415,11415,501,New York,New York,"New York, NY"
11416,11416,501,New York,New York,"New York, NY"
11417,11417,501,New York,New York,"New York, NY"
11418,11418,501,New York,New York,"New York, NY"
11419,11419,501,New York,New York,"New York, NY"
11420,11420,501,New York,New York,"New York, NY"
11421,11421,501,New York,New York,"New York, NY"
11422,11422,501,New York,New York,"New York, NY"
11423,11423,501,New York,New York,"New York, NY"
