By Day,Subregion,Cost,Impressions,Currency
3/20/25,Virginia,53.06,2204,USD
3/20/25,Montana,6.75,231,USD
3/20/25,Michigan,42.87,1696,USD
3/20/25,Illinois,77.01,2976,USD
3/20/25,Unknown,386.32,13627,USD
3/20/25,Colorado,43.43,1861,USD
3/20/25,District of Columbia,5.35,254,USD
3/20/25,South Dakota,3.6,140,USD
3/20/25,Maine,5.14,245,USD
3/20/25,Maryland,45.21,1477,USD
3/20/25,Connecticut,25.53,1020,USD
3/20/25,Utah,29.38,1122,USD
3/20/25,Alaska,4.99,179,USD
3/20/25,New Mexico,10.88,358,USD
3/20/25,Delaware,8.31,225,USD
3/20/25,Georgia,77.9,2661,USD
3/20/25,Oklahoma,14.1,538,USD
3/20/25,Iowa,9.31,382,USD
3/20/25,Washington,63.88,2349,USD
3/20/25,Nevada,28.74,1059,USD
3/20/25,Wisconsin,24.46,941,USD
3/20/25,Ohio,56.19,2041,USD
3/20/25,Florida,193.93,6907,USD
3/20/25,New Jersey,73.52,2588,USD
3/20/25,Idaho,11.55,444,USD
3/20/25,West Virginia,6.82,191,USD
3/20/25,South Carolina,27.97,1049,USD
3/20/25,Pennsylvania,56.2,2192,USD
3/20/25,New Hampshire,10.57,372,USD
3/20/25,North Carolina,52.29,2120,USD
3/20/25,Vermont,3.17,107,USD
3/20/25,Oregon,29.49,1044,USD
3/20/25,Louisiana,15.85,666,USD
3/20/25,Minnesota,28.02,1239,USD
3/20/25,Rhode Island,7.93,282,USD
3/20/25,California,343.13,12626,USD
3/20/25,Indiana,24.92,969,USD
3/20/25,Kansas,9.4,432,USD
3/20/25,Texas,202.93,7250,USD
3/20/25,North Dakota,4.54,182,USD
3/20/25,Arkansas,11.71,357,USD
3/20/25,Nebraska,10.86,322,USD
3/20/25,Wyoming,2.7,130,USD
3/20/25,Hawaii,9.2,395,USD
3/20/25,New York,126.44,4987,USD
3/20/25,Arizona,64.78,2081,USD
3/20/25,Missouri,25.95,845,USD
3/20/25,Tennessee,29.45,1187,USD
3/20/25,Massachusetts,49.43,1941,USD
3/20/25,Alabama,16.42,610,USD
3/20/25,Mississippi,6.5,279,USD
3/20/25,Kentucky,12.19,579,USD
3/19/25,New Mexico,9.81,742,USD
3/19/25,Washington,60.41,4490,USD
3/19/25,Wyoming,2.61,235,USD
3/19/25,Hawaii,11.3,741,USD
3/19/25,Ohio,54.9,4653,USD
3/19/25,California,381.06,24709,USD
3/19/25,Pennsylvania,60.84,5091,USD
3/19/25,Texas,241.91,17933,USD
3/19/25,Florida,241.29,16024,USD
3/19/25,Michigan,50.28,3979,USD
3/19/25,Tennessee,34.13,3096,USD
3/19/25,Idaho,9.81,815,USD
3/19/25,Indiana,34.56,2529,USD
3/19/25,Wisconsin,26.22,2199,USD
3/19/25,Vermont,2.67,271,USD
3/19/25,Kentucky,16.03,1476,USD
3/19/25,North Dakota,4.55,340,USD
3/19/25,Alabama,17.09,1483,USD
3/19/25,Connecticut,24.02,2178,USD
3/19/25,Nebraska,11.84,972,USD
3/19/25,South Carolina,31.66,2688,USD
3/19/25,Oklahoma,17.09,1330,USD
3/19/25,Illinois,94.13,7161,USD
3/19/25,New Jersey,81.25,5675,USD
3/19/25,New Hampshire,9.29,759,USD
3/19/25,Mississippi,10.35,762,USD
3/19/25,Unknown,381.79,21145,USD
